date,defs
20201027,26043
20201026,25955
20201025,25836
20201024,25775
20201023,25698
20201022,25543
20201021,25422
20201020,25333
20201019,25275
20201018,25199
20201017,25108
20201016,25035
20201015,24988
20201014,24878
20201013,24794
20201012,24703
20201011,24605
20201010,24547
20201009,24475
20201008,24421
20201007,24352
20201006,24238
20201005,24163
20201004,24090
20201003,24026
20201002,23951
20201001,23888
20200930,23811
20200929,23698
20200928,23660
20200927,23610
20200926,23515
20200925,23454
20200924,23340
20200923,23215
20200922,23105
20200921,23044
20200920,22974
20200919,22892
20200918,22782
20200917,22656
20200916,22503
20200915,22390
20200914,22284
20200913,22175
20200912,22054
20200911,21918
20200910,21742
20200909,21587
20200908,21431
20200907,21295
20200906,21176
20200905,21009
20200904,20841
20200903,20643
20200902,20448
20200901,20181
20200831,19946
20200830,19698
20200829,19399
20200828,19076
20200827,18705
20200826,18264
20200825,17944
20200824,17664
20200823,17398
20200822,17002
20200821,16670
20200820,16346
20200819,16058
20200818,15761
20200817,15515
20200816,15318
20200815,15039
20200814,14873
20200813,14770
20200812,14714
20200811,14660
20200810,14626
20200809,14598
20200808,14562
20200807,14519
20200806,14499
20200805,14456
20200804,14423
20200803,14389
20200802,14366
20200801,14336
20200731,14305
20200730,14269
20200729,14251
20200728,14203
20200727,14175
20200726,14150
20200725,14092
20200724,13979
20200723,13938
20200722,13879
20200721,13816
20200720,13771
20200719,13745
20200718,13711
20200717,13672
20200716,13612
20200715,13551
20200714,13512
20200713,13479
20200712,13417
20200711,13373
20200710,13338
20200709,13293
20200708,13243
20200707,13181
20200706,13137
20200705,13089
20200704,13028
20200703,12965
20200702,12904
20200701,12850
20200630,12799
20200629,12757
20200628,12715
20200627,12653
20200626,12602
20200625,12563
20200624,12535
20200623,12484
20200622,12438
20200621,12421
20200620,12373
20200619,12306
20200618,12257
20200617,12198
20200616,12155
20200615,12121
20200614,12084
20200613,12050
20200612,12002
20200611,11946
20200610,11901
20200609,11851
20200608,11813
20200607,11776
20200606,11719
20200605,11668
20200604,11629
20200603,11590
20200602,11541
20200601,11503
20200531,11468
20200530,11441
20200529,11402
20200528,11344
20200527,11265
20200526,11225
20200525,11206
20200524,11190
20200523,11165
20200522,11142
20200521,11122
20200520,11110
20200519,11078
20200518,11065
20200517,11050
20200516,11037
20200515,11018
20200513,10962
20200512,10936
20200511,10909
20200510,10874
20200509,10840
20200508,10822
20200507,10810
20200506,10806
20200505,10804
20200504,10801
20200503,10793
20200502,10780
20200501,10774
20200430,10765
20200429,10761
20200428,10752
20200427,10738
20200426,10728
20200425,10718
20200424,10708
20200423,10702
20200422,10694
20200421,10683
20200420,10674
20200419,10661
20200418,10653
20200417,10635
20200416,10613
20200415,10591
20200414,10564
20200413,10537
20200412,10512
20200411,10480
20200410,10450
20200409,10423
20200408,10384
20200407,10331
20200406,10284
20200405,10237
20200404,10156
20200403,10062
20200402,9976
20200401,9887
20200331,9786
20200330,9661
20200329,9583
20200328,9478
20200327,9332
20200326,9241
20200325,9137
20200324,9037
20200323,8961
20200322,8897
20200321,8799
20200320,8652
20200319,8565
20200318,8413
20200317,8320
20200316,8236
20200315,8162
20200314,8086
20200313,7979
20200312,7869
20200311,7755
20200310,7513
20200309,7382
20200308,7134
20200307,6767
20200306,6284
20200305,5766
20200304,5328
20200303,4812
20200302,4212
20200301,3526
20200229,2931
20200228,2022
20200227,1595
20200226,1146
20200225,893
20200224,763
20200223,556
20200222,346
20200221,156
20200220,82
20200219,66
20200218,32
20200217,30
20200216,30
20200215,28
20200214,28
20200213,28
20200212,28
20200211,28
20200210,28
20200209,27
20200208,24
20200207,24
20200206,24
20200205,21
20200204,16
20200203,15
20200202,15
20200201,12
20200131,11
20200130,7
20200129,4
20200128,4
20200127,4
20200126,3
20200125,2
20200124,2
20200123,1
20200122,1
20200121,1
20200120,1
